epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.59,1.45796,1.50477,1.25403,0.61293,0.65763,0.68714,0.41295,1.34851,1.31509,1.37191,0.0803749,0.000298859,0.000298859
2,209.172,1.4273,1.18198,1.24437,0.52272,0.62089,0.57699,0.33383,1.37916,1.33656,1.38683,0.0606641,0.00058808,0.00058808
3,312.614,1.4116,1.15928,1.23542,0.67819,0.72339,0.75848,0.44633,1.38857,1.03107,1.38276,0.0409425,0.0008665,0.0008665
4,414.9,1.38358,1.09181,1.22222,0.68861,0.73385,0.77969,0.45645,1.44607,1.06417,1.4172,0.0212102,0.00113412,0.00113412
5,517.08,1.38705,1.05955,1.22497,0.68223,0.6707,0.73172,0.44058,1.34559,1.14932,1.34752,0.00146699,0.00139094,0.00139094
6,619.205,1.35438,1.03432,1.19329,0.71521,0.76493,0.80157,0.49973,1.28635,0.96506,1.31347,0.001365,0.001365,0.001365
7,721.048,1.3557,1.00264,1.19465,0.69165,0.75287,0.79391,0.48543,1.329,0.88053,1.33475,0.001338,0.001338,0.001338
8,822.492,1.33483,0.97223,1.18838,0.74105,0.76104,0.83427,0.52413,1.27263,0.82604,1.30507,0.001311,0.001311,0.001311
9,924.071,1.31866,0.9286,1.18398,0.71465,0.77546,0.81353,0.50669,1.30362,0.85426,1.32556,0.001284,0.001284,0.001284
10,1026.1,1.30375,0.91246,1.17044,0.70482,0.77452,0.79892,0.49288,1.33311,0.87212,1.33428,0.001257,0.001257,0.001257
11,1127.03,1.30512,0.89218,1.17342,0.8009,0.76463,0.84955,0.52096,1.33238,0.77776,1.34748,0.00123,0.00123,0.00123
12,1226.2,1.30335,0.88585,1.17688,0.71229,0.79436,0.8277,0.50543,1.33928,0.84672,1.33847,0.001203,0.001203,0.001203
13,1324.56,1.28883,0.88433,1.17969,0.76631,0.75975,0.82322,0.51276,1.3288,0.8692,1.3419,0.001176,0.001176,0.001176
14,1422.78,1.27162,0.85228,1.16951,0.72913,0.80312,0.85185,0.51367,1.3323,0.77004,1.32889,0.001149,0.001149,0.001149
15,1521.16,1.26959,0.87061,1.15612,0.77348,0.78384,0.85622,0.55278,1.22767,0.7309,1.27237,0.001122,0.001122,0.001122
16,1620.86,1.26405,0.84627,1.15904,0.75787,0.77651,0.85466,0.5453,1.26157,0.74533,1.29604,0.001095,0.001095,0.001095
17,1719.25,1.24845,0.82672,1.15669,0.74587,0.80112,0.84846,0.52882,1.2986,0.78188,1.31184,0.001068,0.001068,0.001068
18,1817.8,1.24022,0.82919,1.14339,0.75149,0.77803,0.84252,0.52936,1.25214,0.76164,1.28597,0.001041,0.001041,0.001041
19,1916.28,1.25431,0.81796,1.1581,0.77158,0.79197,0.84725,0.52881,1.32184,0.80305,1.32043,0.001014,0.001014,0.001014
20,2014.81,1.24801,0.80929,1.15796,0.7733,0.80893,0.86624,0.55935,1.21965,0.6981,1.27015,0.000987,0.000987,0.000987
21,2113.67,1.23394,0.79943,1.13967,0.74268,0.82175,0.85702,0.55158,1.22663,0.72629,1.27807,0.00096,0.00096,0.00096
22,2212.73,1.23397,0.78165,1.14872,0.74122,0.81113,0.85328,0.54801,1.24541,0.74544,1.28397,0.000933,0.000933,0.000933
23,2311.55,1.22943,0.77523,1.1442,0.76759,0.78287,0.85231,0.54842,1.24394,0.74842,1.2831,0.000906,0.000906,0.000906
24,2410,1.20739,0.77488,1.12845,0.7573,0.81356,0.86688,0.55721,1.22404,0.69136,1.27419,0.000879,0.000879,0.000879
25,2508.61,1.22722,0.77116,1.13904,0.77676,0.79593,0.86564,0.56025,1.21089,0.69404,1.27144,0.000852,0.000852,0.000852
26,2607.42,1.21205,0.75335,1.14012,0.74804,0.83026,0.86805,0.5639,1.20392,0.68009,1.26449,0.000825,0.000825,0.000825
27,2706.22,1.19947,0.73297,1.12413,0.77949,0.79172,0.86105,0.56411,1.21151,0.7577,1.26669,0.000798,0.000798,0.000798
28,2804.63,1.198,0.73615,1.13117,0.77555,0.81647,0.87101,0.56966,1.20761,0.67531,1.25916,0.000771,0.000771,0.000771
29,2903.38,1.19495,0.73318,1.12936,0.7787,0.8329,0.87862,0.57237,1.20199,0.66334,1.25811,0.000744,0.000744,0.000744
30,3002.27,1.19271,0.72751,1.12523,0.77558,0.80882,0.87172,0.5669,1.22127,0.66991,1.26515,0.000717,0.000717,0.000717
31,3100.7,1.18083,0.71196,1.11936,0.78129,0.81056,0.87107,0.56654,1.22843,0.6894,1.27334,0.00069,0.00069,0.00069
32,3199.47,1.1834,0.71306,1.12144,0.79754,0.81628,0.8883,0.58158,1.21032,0.64767,1.2646,0.000663,0.000663,0.000663
33,3298.18,1.17097,0.70269,1.11906,0.78568,0.81186,0.87589,0.57343,1.20567,0.65641,1.26264,0.000636,0.000636,0.000636
34,3396.66,1.16944,0.70112,1.11668,0.80076,0.80672,0.87343,0.572,1.19776,0.66866,1.25901,0.000609,0.000609,0.000609
35,3495.29,1.16839,0.69128,1.10801,0.74769,0.85404,0.88103,0.58266,1.17701,0.65182,1.24688,0.000582,0.000582,0.000582
