epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.152,1.46423,1.36652,1.23421,0.71906,0.70127,0.76014,0.44385,1.4545,1.08726,1.42563,0.0803328,0.0002995,0.0002995
2,496.393,1.42741,1.13717,1.22429,0.69176,0.7206,0.76497,0.44636,1.42646,1.13907,1.39697,0.060622,0.000588709,0.000588709
3,739.4,1.4107,1.09453,1.21011,0.73317,0.71724,0.7996,0.501,1.30266,1.04143,1.33307,0.0409005,0.000867118,0.000867118
4,981.627,1.38463,1.04813,1.19539,0.77829,0.77017,0.85596,0.53162,1.30062,0.81703,1.33127,0.0211681,0.00113473,0.00113473
5,1225.69,1.35385,1.00257,1.18101,0.73977,0.77728,0.83194,0.51937,1.28629,0.88781,1.32492,0.00142487,0.00139154,0.00139154
6,1468.4,1.33186,0.96173,1.17178,0.78602,0.79384,0.87355,0.56144,1.25029,0.79364,1.29611,0.001365,0.001365,0.001365
7,1713.8,1.31681,0.92439,1.16448,0.81416,0.79194,0.88423,0.57316,1.22371,0.75439,1.28095,0.001338,0.001338,0.001338
8,1954.73,1.29406,0.88371,1.1532,0.80242,0.80252,0.88726,0.57717,1.22658,0.78437,1.28028,0.001311,0.001311,0.001311
9,2195.68,1.28009,0.86079,1.14361,0.79969,0.79768,0.87448,0.56458,1.24183,0.77911,1.29183,0.001284,0.001284,0.001284
10,2436.54,1.26056,0.84013,1.14288,0.79645,0.8007,0.88558,0.58196,1.21309,0.77074,1.26975,0.001257,0.001257,0.001257
11,2676.83,1.24912,0.81707,1.1248,0.80456,0.83187,0.89651,0.59814,1.18467,0.71217,1.25526,0.00123,0.00123,0.00123
12,2916.3,1.2339,0.79415,1.127,0.81842,0.83212,0.89924,0.59393,1.20988,0.70532,1.26732,0.001203,0.001203,0.001203
13,3154.07,1.21914,0.78067,1.11398,0.82599,0.83002,0.90457,0.60194,1.19333,0.70889,1.26449,0.001176,0.001176,0.001176
14,3393.69,1.2095,0.75598,1.11224,0.84088,0.84047,0.91462,0.61379,1.1659,0.65286,1.24167,0.001149,0.001149,0.001149
15,3632.88,1.18254,0.73297,1.10125,0.82279,0.85483,0.90899,0.61351,1.17094,0.67945,1.2482,0.001122,0.001122,0.001122
16,3870.95,1.16883,0.71912,1.08945,0.8466,0.82604,0.90888,0.61905,1.13911,0.65953,1.23022,0.001095,0.001095,0.001095
17,4108.63,1.15166,0.713,1.08984,0.84616,0.83369,0.92269,0.63573,1.13339,0.66566,1.22421,0.001068,0.001068,0.001068
18,4346.68,1.13413,0.68799,1.08489,0.85316,0.85314,0.92389,0.634,1.14138,0.62761,1.23176,0.001041,0.001041,0.001041
19,4584.72,1.1192,0.67155,1.07723,0.85792,0.85812,0.92796,0.64046,1.1212,0.62607,1.22196,0.001014,0.001014,0.001014
20,4822.32,1.09815,0.6462,1.06916,0.86667,0.86719,0.92672,0.64201,1.1321,0.62505,1.229,0.000987,0.000987,0.000987
21,5060,1.08022,0.63265,1.06316,0.8507,0.85632,0.92318,0.63978,1.12908,0.6387,1.2292,0.00096,0.00096,0.00096
22,5297.18,1.0682,0.61681,1.05254,0.87189,0.8596,0.92477,0.65099,1.10351,0.61536,1.21681,0.000933,0.000933,0.000933
23,5544.88,1.03941,0.59123,1.04075,0.87034,0.86264,0.93032,0.6597,1.09182,0.61693,1.21078,0.000906,0.000906,0.000906
24,5787.67,1.03306,0.5817,1.03918,0.87744,0.86714,0.93066,0.66032,1.09691,0.60174,1.21762,0.000879,0.000879,0.000879
25,6025.37,1.00092,0.57332,1.02935,0.88411,0.86929,0.9326,0.66607,1.0759,0.5908,1.21124,0.000852,0.000852,0.000852
26,6264.36,0.98824,0.55347,1.02115,0.88074,0.87439,0.93137,0.66799,1.07059,0.58986,1.21104,0.000825,0.000825,0.000825
27,6502.51,0.9559,0.53485,1.01625,0.88681,0.86892,0.93187,0.67074,1.06483,0.59389,1.2068,0.000798,0.000798,0.000798
28,6740.45,0.9487,0.5276,1.01178,0.88471,0.87559,0.93149,0.67947,1.04673,0.59977,1.20438,0.000771,0.000771,0.000771
29,6978.23,0.92923,0.51257,1.00306,0.88562,0.88002,0.93364,0.68087,1.03512,0.57717,1.19768,0.000744,0.000744,0.000744
30,7215.63,0.91515,0.50143,0.9928,0.89817,0.86889,0.9353,0.68803,1.03048,0.57653,1.19772,0.000717,0.000717,0.000717
31,7453.53,0.89727,0.49216,0.99274,0.89107,0.87705,0.93242,0.68611,1.02937,0.5856,1.20117,0.00069,0.00069,0.00069
32,7691.72,0.87746,0.4793,0.97793,0.89872,0.86786,0.93254,0.69274,1.00712,0.58704,1.19176,0.000663,0.000663,0.000663
33,7929.9,0.86366,0.46609,0.97744,0.89667,0.86815,0.93049,0.68849,1.01567,0.59626,1.20316,0.000636,0.000636,0.000636
34,8168.25,0.84717,0.46351,0.97411,0.88746,0.87466,0.93294,0.69991,0.99604,0.60065,1.19524,0.000609,0.000609,0.000609
35,8407.01,0.83633,0.4528,0.96517,0.8862,0.88157,0.93682,0.70403,1.00027,0.58412,1.20293,0.000582,0.000582,0.000582
36,8645.24,0.81788,0.44435,0.96051,0.8989,0.86949,0.93442,0.70519,0.98355,0.58541,1.19621,0.000555,0.000555,0.000555
37,8883.58,0.79827,0.4312,0.95171,0.8967,0.8815,0.93819,0.71303,0.97025,0.57104,1.18766,0.000528,0.000528,0.000528
38,9121.83,0.78494,0.42537,0.94487,0.8954,0.87325,0.93237,0.70956,0.96632,0.57989,1.19118,0.000501,0.000501,0.000501
39,9359.88,0.76874,0.41418,0.93939,0.90262,0.86962,0.93316,0.71344,0.96174,0.58563,1.19146,0.000474,0.000474,0.000474
40,9598.1,0.75363,0.40568,0.93564,0.8978,0.87208,0.93143,0.71193,0.95792,0.58721,1.19635,0.000447,0.000447,0.000447
41,9836.94,0.76045,0.39417,1.0017,0.90128,0.87678,0.93502,0.7197,0.95715,0.58166,1.1967,0.00042,0.00042,0.00042
42,10075.4,0.72926,0.37925,0.98493,0.90391,0.86897,0.93149,0.71994,0.94557,0.59593,1.19266,0.000393,0.000393,0.000393
43,10313.4,0.71781,0.3704,0.97962,0.89739,0.86931,0.92646,0.71987,0.93738,0.60544,1.19455,0.000366,0.000366,0.000366
44,10551.4,0.70858,0.366,0.97209,0.89846,0.87343,0.93039,0.72353,0.93808,0.59744,1.20265,0.000339,0.000339,0.000339
45,10789.8,0.69711,0.36178,0.97096,0.89522,0.88053,0.92813,0.72375,0.93267,0.58604,1.2024,0.000312,0.000312,0.000312
46,11028.3,0.6714,0.34431,0.952,0.88685,0.88228,0.92879,0.72738,0.92461,0.60097,1.201,0.000285,0.000285,0.000285
47,11266.7,0.66629,0.34455,0.95278,0.9003,0.87405,0.92464,0.72491,0.92061,0.60008,1.20768,0.000258,0.000258,0.000258
48,11504.8,0.64798,0.33775,0.94702,0.89187,0.87931,0.92262,0.72533,0.91594,0.60676,1.21084,0.000231,0.000231,0.000231
49,11742.8,0.63343,0.32332,0.93707,0.90465,0.87178,0.92792,0.7346,0.91284,0.60613,1.20913,0.000204,0.000204,0.000204
50,11981,0.62767,0.32408,0.93587,0.91135,0.86952,0.92867,0.73508,0.91072,0.60462,1.21575,0.000177,0.000177,0.000177
